distance_m,soil_moisture_content_pct
122.36,2.856372668
122.50,2.427298871
122.64,3.388225074
122.78,3.029151277
122.92,2.86007748
123.06,3.371003683
123.19,2.991929886
123.33,2.482856089
123.47,2.603782292
123.61,1.914708495
123.75,2.715634698
123.89,3.526560901
124.03,2.927487104
124.17,2.918413307
124.31,3.48933951
124.44,2.960265713
124.58,2.571191916
124.72,3.562118119
124.86,2.103044322
125.00,2.933970525
125.14,3.094896729
125.28,2.875822932
125.42,3.246749135
125.56,3.927675338
125.69,3.218601541
125.83,2.519527744
125.97,2.150453947
126.11,2.16138015
126.25,3.632306353
126.39,2.533232556
126.53,2.914158759
126.67,3.075084962
126.81,2.666011165
126.94,1.966937368
127.08,2.487863571
127.22,1.938789774
127.36,2.599715977
127.50,3.54064218
127.64,3.051568383
127.78,2.792494586
127.92,2.533420789
128.06,2.224346992
128.19,2.385273195
128.33,2.376199398
128.47,2.887125602
128.61,2.748051805
128.75,3.458978008
128.89,4.079904211
129.03,3.030830414
129.17,3.371756617
129.31,2.80268282
129.44,2.183609023
129.58,3.264535226
129.72,2.935461429
129.86,3.016387632
130.00,3.407313835
130.14,4.388240038
130.28,3.349166241
130.42,3.550092444
130.56,3.211018647
130.69,4.24194485
130.83,3.112871053
130.97,3.483797256
131.11,3.324723459
131.25,3.845649662
131.39,4.646575865
131.53,3.407502068
131.67,3.908428271
131.81,4.449354475
131.94,3.620280678
132.08,3.371206881
132.22,3.642133084
132.36,2.783059287
132.50,3.56398549
132.64,3.744911693
132.78,4.095837896
132.92,4.326764099
133.06,3.967690302
133.19,2.528616505
133.33,3.629542708
133.47,3.410468911
133.61,4.301395114
133.75,5.612321317
133.89,5.76324752
134.03,3.514173723
134.17,3.115099926
134.31,3.196026129
134.44,3.296952332
134.58,4.607878535
134.72,4.308804738
134.86,3.749730941
135.00,3.160657144
135.14,3.071583348
135.28,2.932509551
135.42,2.713435754
135.56,3.154361957
135.69,2.25528816
135.83,3.586214363
135.97,3.507140566
136.11,2.618066769
136.25,4.388992972
136.39,3.249919175
136.53,3.390845378
136.67,3.211771581
136.81,2.732697784
136.94,3.143623987
137.08,3.53455019
137.22,3.785476393
137.36,3.166402596
137.50,3.527328799
137.64,3.628255002
137.78,2.939181205
137.92,3.980107408
138.06,2.791033611
138.19,3.041959814
138.33,2.982886017
138.47,2.703812221
138.61,3.174738424
138.75,3.965664627
138.89,3.67659083
139.03,3.377517033
139.17,4.348443236
139.31,5.219369439
139.44,6.800295642
139.58,4.311221845
139.72,4.482148048
139.86,2.293074251
140.00,3.664000454
140.14,4.154926657
140.28,4.59585286
140.42,4.376779063
140.56,5.307705266
140.69,3.578631469
140.83,3.849557672
140.97,2.400483875
141.11,4.081410078
141.25,4.182336281
141.39,3.393262484
141.53,3.094188687
141.67,2.91511489
141.81,2.596041093
141.94,2.666967297
142.08,3.0478935
142.22,3.348819703
142.36,3.099745906
142.50,3.940672109
142.64,2.331598312
142.78,2.662524515
142.92,2.603450718
143.06,3.204376921
143.19,4.225303124
143.33,4.026229327
143.47,2.78715553
143.61,2.838081733
143.75,2.799007936
143.89,2.979934139
144.03,3.270860342
144.17,4.401786545
144.31,3.532712748
144.44,4.173638951
144.58,3.894565154
144.72,3.495491357
144.86,3.93641756
145.00,3.667343763
145.14,3.918269966
145.28,4.90919617
145.42,3.310122373
145.56,3.811048576
145.69,3.611974779
145.83,4.362900982
145.97,4.043827185
146.11,4.364753388
146.25,5.075679591
146.39,4.046605794
146.53,3.517531997
146.67,4.1584582
146.81,3.659384403
146.94,3.580310606
147.08,3.671236809
147.22,3.032163012
147.36,3.243089215
147.50,2.824015418
147.64,2.804941621
147.78,3.505867824
147.92,3.036794027
148.06,3.17772023
148.19,3.438646433
148.33,3.009572636
148.47,2.990498839
148.61,3.601425043
148.75,3.692351246
148.89,3.563277449
149.03,3.714203652
149.17,3.635129855
149.31,3.566056058
149.44,4.226982261
149.58,4.547908464
149.72,4.528834667
149.86,4.40976087
150.00,3.890687073
150.14,3.521613276
150.28,2.882539479
150.42,2.213465682
150.56,2.304391885
150.69,2.365318088
150.83,2.566244291
150.97,3.037170494
151.11,4.218096697
151.25,3.3790229
151.39,2.419949103
151.53,2.450875306
151.67,2.101801509
151.81,2.122727712
151.94,2.663653916
152.08,2.634580119
152.22,3.205506322
152.36,3.456432525
152.50,2.777358728
152.64,2.308284931
152.78,2.819211134
152.92,2.860137337
153.06,2.54106354
153.19,2.661989743
153.33,2.612915946
153.47,2.433842149
153.61,3.324768352
153.75,4.065694555
153.89,3.116620758
154.03,3.317546961
154.17,2.738473164
154.31,2.679399367
154.44,3.31032557
154.58,3.971251773
154.72,2.802177976
154.86,3.013104179
155.00,2.534030382
155.14,2.254956585
155.28,2.545882789
155.42,4.846808992
155.56,2.927735195
155.69,4.588661398
155.83,3.439587601
155.97,2.950513804
156.11,2.631440007
156.25,3.12236621
156.39,3.363292413
156.53,4.164218616
156.67,4.845144819
156.81,3.326071022
156.94,2.856997225
157.08,3.307923428
157.22,2.658849631
157.36,2.779775834
157.50,4.250702037
157.64,3.21162824
157.78,3.402554443
157.92,3.923480646
